,RequestName,SanctionName,similarityScore,requestID,UID
0,王锦雨,王锦雨,0.9999999999999999,AA012345,8
1,王棉雨,王锦雨,0.8246260343695907,AA012346,8
2,王靳雨,王锦雨,0.7301739250286354,AA012347,8
3,王锦雨,张雨,0.7185410517450832,AA012345,1320
4,王棉雨,张雨,0.7797895320383192,AA012346,1320
5,王靳雨,张雨,0.8310157424106307,AA012347,1320
6,王锦雨,雷雨,0.675950122862867,AA012345,689
7,王棉雨,雷雨,0.7335681499454239,AA012346,689
8,王靳雨,雷雨,0.7817579688999118,AA012347,689
9,王锦雨,王存雨,0.6016327117805957,AA012345,913
10,王棉雨,王存雨,0.652915918497549,AA012346,913
11,王靳雨,王存雨,0.6958075024727269,AA012347,913
13,王棉雨,郑雨桐,0.6387429360745843,AA012346,465
14,王靳雨,郑雨桐,0.6807034634641422,AA012347,465
16,王棉雨,何雨春,0.6323527335446405,AA012346,1126
17,王靳雨,何雨春,0.6738934734842889,AA012347,1126
19,王棉雨,史方雨,0.6306011247137242,AA012346,2571
20,王靳雨,史方雨,0.6720267973451105,AA012347,2571
22,王棉雨,郑鑫雨,0.6052256533634913,AA012346,2254
23,王靳雨,郑鑫雨,0.6449843515353901,AA012347,2254
26,王靳雨,施雨桐,0.6203294083660551,AA012347,2175
29,王靳雨,杨雨前,0.6112944218432036,AA012347,2705
30,王友,王友,1.0,BB099931,12
31,王有,王友,0.6677252479921905,BB099932,12
61,袁临江,袁临江,0.9999999999999999,CC072982,66
62,袁江临,袁临江,0.8261342654380077,CC072983,66
63,江临袁,袁临江,0.7965209446770806,CC072984,66
92,井上昌信,井上昌信,1.0000000000000002,DD903844,394
93,井上信昌,井上昌信,0.7506277004048358,DD903845,394
95,井上昌,井上昌信,0.8532165813651305,DD903847,394
96,上昌信,井上昌信,0.7885674817680802,DD903848,394
126,李昌达,李昌达,1.0,HH1234571,2494
127,李昌达,李昌达,1.0,HH1234572,2494
128,李昌达,李昌达,1.0,HH1234573,2494
129,李昌达,李昌达,1.0,HH1234574,2494
130,李昌达,李昌达,1.0,HH1234571,2494
131,李昌达,李昌达,1.0,HH1234572,2494
132,李昌达,李昌达,1.0,HH1234573,2494
133,李昌达,李昌达,1.0,HH1234574,2494
134,李昌达,李昌达,1.0,HH1234571,2494
135,李昌达,李昌达,1.0,HH1234572,2494
136,李昌达,李昌达,1.0,HH1234573,2494
137,李昌达,李昌达,1.0,HH1234574,2494
138,李昌达,李昌达,1.0,HH1234571,2494
139,李昌达,李昌达,1.0,HH1234572,2494
140,李昌达,李昌达,1.0,HH1234573,2494
141,李昌达,李昌达,1.0,HH1234574,2494
276,徐佘余,徐佘余,1.0,EE123456,239
277,徐佘,徐佘余,0.6166825668922706,EE123457,239
278,佘余,徐佘余,0.7872119229859011,EE123458,239
280,徐佘,徐俊,0.6158658569377217,EE123457,1683
366,细见达秀,细见达秀,1.0,GG1234576,2970
367,细见达秀,细见达秀,1.0,GG1234577,2970
368,细见达秀,细见达秀,1.0,GG1234578,2970
369,细见达秀,细见达秀,1.0,GG1234576,2970
370,细见达秀,细见达秀,1.0,GG1234577,2970
371,细见达秀,细见达秀,1.0,GG1234578,2970
372,细见达秀,细见达秀,1.0,GG1234576,2970
373,细见达秀,细见达秀,1.0,GG1234577,2970
374,细见达秀,细见达秀,1.0,GG1234578,2970
447,陈章华,陈章华,0.9999999999999999,FF1234579,19
448,陈章华,陈章华,0.9999999999999999,FF1234580,19
449,陈章华,陈章华,0.9999999999999999,FF1234581,19
450,陈章华,陈章华,0.9999999999999999,FF1234579,19
451,陈章华,陈章华,0.9999999999999999,FF1234580,19
452,陈章华,陈章华,0.9999999999999999,FF1234581,19
453,陈章华,陈章华,0.9999999999999999,FF1234579,19
454,陈章华,陈章华,0.9999999999999999,FF1234580,19
455,陈章华,陈章华,0.9999999999999999,FF1234581,19
0,wangjinyu,wangjinyu,1.0000001192092896,AA012345,8
1,wangjinyu,wangjinyu,1.0000001192092896,AA012347,8
2,wangyou,wangyou,1.0,BB099931,12
3,wangyou,fangyou,0.8216220140457153,BB099931,627
4,wangyou,wangyou,1.0,BB099932,12
5,wangyou,fangyou,0.8216220140457153,BB099932,627
6,wangyou,wangyou,1.0,BB099933,12
7,wangyou,fangyou,0.8216220140457153,BB099933,627
8,yuanlinjiang,yuanlinjiang,1.0000001192092896,CC072982,66
9,jingshangchangxin,jingshangchangxin,1.0,DD903844,394
10,jingshangchang,jingshangchangxin,0.8981904983520508,DD903847,394
11,shangchangxin,jingshangchangxin,0.8634728193283081,DD903848,394
12,xusheyu,xusheyu,1.0,EE123456,239
13,lichangda,lichangda,1.0000001192092896,HH1234571,2494
14,lichangda,lichangda,1.0000001192092896,HH1234572,2494
15,lichangda,lichangda,1.0000001192092896,HH1234573,2494
16,lichangda,lichangda,1.0000001192092896,HH1234574,2494
17,xijiandaxiu,xijiandaxiu,0.9999999403953552,GG1234576,2970
18,xijiandaxiu,xijiandaxiu,0.9999999403953552,GG1234577,2970
19,xijiandaxiu,xijiandaxiu,0.9999999403953552,GG1234578,2970
20,chenzhanghua,chenzhanghua,1.0,FF1234579,19
21,chenzhanghua,chenzhanghua,1.0,FF1234580,19
22,chenzhanghua,chenzhanghua,1.0,FF1234581,19
