,RequestBrand,SanctionBrand,similarityBrand
0,通发众好,通发众好,0.9999999999999999
1,通发众好,众发,0.3598825928860294
2,通发众好,众发,0.3598825928860294
3,通发众好,万发金铜,0.31889227190631586
4,通发众好,百众,0.274211988173239
5,通发众好,众源,0.25039355554772114
6,通发众好,众诚,0.23460599759480966
7,通发众好,众游,0.23413660900881805
8,通发众好,众城,0.23273099048597934
9,通发众好,众恒,0.23159621443686237
10,宝发,宝发,1.0
11,宝发,国久大,0.3060687385369841
12,宝发,君乐宝乐时,0.2940353513015346
13,宝发,宝源,0.2722585058055335
14,宝发,新发,0.27066238483835914
15,宝发,宝利,0.26577762673658145
16,宝发,宝科,0.26484073996082363
17,宝发,宝钢,0.2639471637242681
18,宝发,宝钢,0.2639471637242681
19,宝发,宝钢,0.2639471637242681
20,富士康,富士康,0.9999999999999998
21,富士康,富士康,0.9999999999999998
22,富士康,富士,0.7171153577499341
23,富士康,天士力,0.33754797141208226
24,富士康,金土地,0.311798905569224
25,富士康,波士顿,0.2759417508553179
26,富士康,中土勘察,0.25061581649459996
27,富士康,大唐,0.23541631373357247
28,富士康,大唐,0.23541631373357247
29,富士康,大唐,0.23541631373357247
30,华科大,华科大,0.9999999999999999
31,华科大,科伦,0.48570780987717366
32,华科大,中科信达,0.4391084522377407
33,华科大,中科华腾,0.23817926576746026
34,华科大,水科院,0.21570718831268207
35,华科大,爱科美,0.20962607591194743
36,华科大,中科天恩,0.20072086918360527
37,华科大,中煤科工,0.19993226984898155
38,华科大,日新科宇,0.19693146021146343
39,华科大,海科瑞林,0.19282765152997372
40,能士,能士,1.0
41,能士,乐软能士,0.6048841899280493
42,能士,比克,0.5601527707012071
43,能士,健能达,0.3403035115681285
44,能士,华能,0.3316348200874517
45,能士,华能,0.3316348200874517
46,能士,华能,0.3316348200874517
47,能士,申能风力,0.3103633590299567
48,能士,锦能,0.2999146042130407
49,能士,鲁能泰山,0.29657589052968975
50,全思,全思,0.9999999999999998
51,全思,全一,0.3080917790777689
52,全思,全行,0.2634940028566413
53,全思,全顺,0.26237686453411957
54,全思,全雅,0.2516155669615514
55,全思,全泰,0.2443053092055875
56,全思,全植,0.24042507329649146
57,全思,全鑫,0.23947862881117205
58,全思,万思达,0.22848973034738518
59,全思,苏富思,0.20857562148731398
60,丹力,丹力,1.0
61,丹力,枫丹白露,0.495600039498515
62,丹力,巨力,0.3795239515081935
63,丹力,天士力,0.3419616976455355
64,丹力,一牛,0.29493958125287906
65,丹力,东丹,0.2716352172266032
66,丹力,立力煤矿,0.26618661455639114
67,丹力,风力,0.18283459496487997
68,丹力,丰力,0.15868845749869726
69,丹力,宇力,0.15565913814786256
70,电信,电信,1.0
71,电信,电信,1.0
72,电信,电信,1.0
73,电信,国信,0.2913781717883872
74,电信,国信,0.2913781717883872
75,电信,恒信,0.26761386769466317
76,电信,诚信,0.2651795807840757
77,电信,宏信,0.2563990401488458
78,电信,中国电信集团昱海澜湾营业厅,0.2512411817719413
79,电信,鹏信,0.24527734330219347
80,兴宏,兴宏,0.9999999999999999
81,兴宏,兴宏,0.9999999999999999
82,兴宏,兴富,0.6858257928031627
83,兴宏,国宏,0.3312462714322529
84,兴宏,康宏,0.30129822170042075
85,兴宏,川宏,0.2739131385877101
86,兴宏,兴江,0.24409461599347748
87,兴宏,兴华,0.23594036855209521
88,兴宏,兴中,0.2310116658226317
89,兴宏,兴龙,0.2234280191817061
90,新乐天,新乐天,1.0
91,新乐天,新发,0.5044933346800544
92,新乐天,君乐宝乐时,0.4184539441320918
93,新乐天,君乐宝,0.3413631000814525
94,新乐天,乐百年,0.3399762789460996
95,新乐天,欢乐云,0.32947204163434995
96,新乐天,新天,0.3284810052885584
97,新乐天,天乐信达,0.3116525159888295
98,新乐天,开乐特种,0.30701672728326224
99,新乐天,乐普,0.3062060380066032
100,新乐天,新乐天,1.0
101,新乐天,新发,0.5044933346800544
102,新乐天,君乐宝乐时,0.4184539441320918
103,新乐天,君乐宝,0.3413631000814525
104,新乐天,乐百年,0.3399762789460996
105,新乐天,欢乐云,0.32947204163434995
106,新乐天,新天,0.3284810052885584
107,新乐天,天乐信达,0.3116525159888295
108,新乐天,开乐特种,0.30701672728326224
109,新乐天,乐普,0.3062060380066032
110,乐天,新乐天,0.7267789100956722
111,乐天,乐百年,0.46778500892567954
112,乐天,乐普,0.4213193775343518
113,乐天,乐金,0.41558936560059456
114,乐天,乐图,0.4106121313934229
115,乐天,乐星,0.40626550621745805
116,乐天,乐驰,0.39865198140600205
117,乐天,乐凯,0.39733784830230867
118,乐天,乐帆,0.38868210182868634
119,乐天,乐居,0.3880822040269256
120,药研所,药物研究所,0.5310860864364731
121,药研所,生物制品研究所,0.3141855193045664
122,药研所,研创,0.3106129938672189
123,药研所,兵器工业二研究所分所,0.3086942996411221
124,药研所,中核北研防水,0.2809046118222619
125,药研所,外语教学与研究出版社,0.2070105768530099
126,药研所,国药中联,0.17201485374215605
127,药研所,制药厂,0.17146120872191223
128,药研所,医药工业,0.16476153644851377
129,药研所,哈药集团,0.1573115126405449
