,RequestBrand,SanctionBrand
0,通发众好,通发众好
1,通发众好,众发
2,通发众好,众发
3,通发众好,万发金铜
4,通发众好,百众
5,通发众好,众源
6,通发众好,众诚
7,通发众好,众游
8,通发众好,众城
9,通发众好,众恒
10,宝发,宝发
11,宝发,国久大
12,宝发,君乐宝乐时
13,宝发,宝源
14,宝发,新发
15,宝发,宝利
16,宝发,宝科
17,宝发,宝钢
18,宝发,宝钢
19,宝发,宝钢
20,富士康,富士康
21,富士康,富士康
22,富士康,富士
23,富士康,天士力
24,富士康,金土地
25,富士康,波士顿
26,富士康,中土勘察
27,富士康,大唐
28,富士康,大唐
29,富士康,大唐
30,华科大,华科大
31,华科大,科伦
32,华科大,中科信达
33,华科大,中科华腾
34,华科大,水科院
35,华科大,爱科美
36,华科大,中科天恩
37,华科大,中煤科工
38,华科大,日新科宇
39,华科大,海科瑞林
40,能士,能士
41,能士,乐软能士
42,能士,比克
43,能士,健能达
44,能士,华能
45,能士,华能
46,能士,华能
47,能士,申能风力
48,能士,锦能
49,能士,鲁能泰山
50,全思,全思
51,全思,全一
52,全思,全行
53,全思,全顺
54,全思,全雅
55,全思,全泰
56,全思,全植
57,全思,全鑫
58,全思,万思达
59,全思,苏富思
60,丹力,丹力
61,丹力,枫丹白露
62,丹力,巨力
63,丹力,天士力
64,丹力,一牛
65,丹力,东丹
66,丹力,立力煤矿
67,丹力,风力
68,丹力,丰力
69,丹力,宇力
70,电信,电信
71,电信,电信
72,电信,电信
73,电信,国信
74,电信,国信
75,电信,恒信
76,电信,诚信
77,电信,宏信
78,电信,中国电信集团昱海澜湾营业厅
79,电信,鹏信
80,兴宏,兴宏
81,兴宏,兴宏
82,兴宏,兴富
83,兴宏,国宏
84,兴宏,康宏
85,兴宏,川宏
86,兴宏,兴江
87,兴宏,兴华
88,兴宏,兴中
89,兴宏,兴龙
90,新乐天,新乐天
91,新乐天,新发
92,新乐天,君乐宝乐时
93,新乐天,君乐宝
94,新乐天,乐百年
95,新乐天,欢乐云
96,新乐天,新天
97,新乐天,天乐信达
98,新乐天,开乐特种
99,新乐天,乐普
100,新乐天,新乐天
101,新乐天,新发
102,新乐天,君乐宝乐时
103,新乐天,君乐宝
104,新乐天,乐百年
105,新乐天,欢乐云
106,新乐天,新天
107,新乐天,天乐信达
108,新乐天,开乐特种
109,新乐天,乐普
110,乐天,新乐天
111,乐天,乐百年
112,乐天,乐普
113,乐天,乐金
114,乐天,乐图
115,乐天,乐星
116,乐天,乐驰
117,乐天,乐凯
118,乐天,乐帆
119,乐天,乐居
120,药研所,药物研究所
121,药研所,生物制品研究所
122,药研所,研创
123,药研所,兵器工业二研究所分所
124,药研所,中核北研防水
125,药研所,外语教学与研究出版社
126,药研所,国药中联
127,药研所,制药厂
128,药研所,医药工业
129,药研所,哈药集团
