,similarityBrand
0,0.9999999999999999
1,0.3598825928860294
2,0.3598825928860294
3,0.31889227190631586
4,0.274211988173239
5,0.25039355554772114
6,0.23460599759480966
7,0.23413660900881805
8,0.23273099048597934
9,0.23159621443686237
10,1.0
11,0.3060687385369841
12,0.2940353513015346
13,0.2722585058055335
14,0.27066238483835914
15,0.26577762673658145
16,0.26484073996082363
17,0.2639471637242681
18,0.2639471637242681
19,0.2639471637242681
20,0.9999999999999998
21,0.9999999999999998
22,0.7171153577499341
23,0.33754797141208226
24,0.311798905569224
25,0.2759417508553179
26,0.25061581649459996
27,0.23541631373357247
28,0.23541631373357247
29,0.23541631373357247
30,0.9999999999999999
31,0.48570780987717366
32,0.4391084522377407
33,0.23817926576746026
34,0.21570718831268207
35,0.20962607591194743
36,0.20072086918360527
37,0.19993226984898155
38,0.19693146021146343
39,0.19282765152997372
40,1.0
41,0.6048841899280493
42,0.5601527707012071
43,0.3403035115681285
44,0.3316348200874517
45,0.3316348200874517
46,0.3316348200874517
47,0.3103633590299567
48,0.2999146042130407
49,0.29657589052968975
50,0.9999999999999998
51,0.3080917790777689
52,0.2634940028566413
53,0.26237686453411957
54,0.2516155669615514
55,0.2443053092055875
56,0.24042507329649146
57,0.23947862881117205
58,0.22848973034738518
59,0.20857562148731398
60,1.0
61,0.495600039498515
62,0.3795239515081935
63,0.3419616976455355
64,0.29493958125287906
65,0.2716352172266032
66,0.26618661455639114
67,0.18283459496487997
68,0.15868845749869726
69,0.15565913814786256
70,1.0
71,1.0
72,1.0
73,0.2913781717883872
74,0.2913781717883872
75,0.26761386769466317
76,0.2651795807840757
77,0.2563990401488458
78,0.2512411817719413
79,0.24527734330219347
80,0.9999999999999999
81,0.9999999999999999
82,0.6858257928031627
83,0.3312462714322529
84,0.30129822170042075
85,0.2739131385877101
86,0.24409461599347748
87,0.23594036855209521
88,0.2310116658226317
89,0.2234280191817061
90,1.0
91,0.5044933346800544
92,0.4184539441320918
93,0.3413631000814525
94,0.3399762789460996
95,0.32947204163434995
96,0.3284810052885584
97,0.3116525159888295
98,0.30701672728326224
99,0.3062060380066032
100,1.0
101,0.5044933346800544
102,0.4184539441320918
103,0.3413631000814525
104,0.3399762789460996
105,0.32947204163434995
106,0.3284810052885584
107,0.3116525159888295
108,0.30701672728326224
109,0.3062060380066032
110,0.7267789100956722
111,0.46778500892567954
112,0.4213193775343518
113,0.41558936560059456
114,0.4106121313934229
115,0.40626550621745805
116,0.39865198140600205
117,0.39733784830230867
118,0.38868210182868634
119,0.3880822040269256
120,0.5310860864364731
121,0.3141855193045664
122,0.3106129938672189
123,0.3086942996411221
124,0.2809046118222619
125,0.2070105768530099
126,0.17201485374215605
127,0.17146120872191223
128,0.16476153644851377
129,0.1573115126405449
